T/V;N;NB;P;Q;time;gflops
WR11C2R4;5040;32;1;16;71.29;1.1977e+00
WR11C2R4;5040;32;2;8;86.64;9.8550e-01
WR11C2R4;5040;32;4;4;107.91;7.9131e-01
WR11C2R4;5040;32;8;2;117.08;7.2933e-01
WR11C2R4;5040;32;16;1;60.06;1.4217e+00
WR11C2R4;5040;64;1;16;37.00;2.3080e+00
WR11C2R4;5040;64;2;8;56.63;1.5077e+00
WR11C2R4;5040;64;4;4;72.73;1.1741e+00
WR11C2R4;5040;64;8;2;81.92;1.0424e+00
WR11C2R4;5040;64;16;1;57.14;1.4943e+00
WR11C2R4;5040;128;1;16;18.00;4.7434e+00
WR11C2R4;5040;128;2;8;34.82;2.4523e+00
WR11C2R4;5040;128;4;4;54.99;1.5527e+00
WR11C2R4;5040;128;8;2;60.79;1.4047e+00
WR11C2R4;5040;128;16;1;58.38;1.4626e+00
WR11C2R4;5040;256;1;16;9.11;9.3756e+00
WR11C2R4;5040;256;2;8;21.74;3.9282e+00
WR11C2R4;5040;256;4;4;39.91;2.1395e+00
WR11C2R4;5040;256;8;2;48.92;1.7455e+00
WR11C2R4;5040;256;16;1;54.80;1.5582e+00
WR11C2R4;10000;32;1;16;170.93;3.9011e+00
WR11C2R4;10000;32;2;8;211.31;3.1557e+00
WR11C2R4;10000;32;4;4;276.93;2.4079e+00
WR11C2R4;10000;32;8;2;271.08;2.4598e+00
WR11C2R4;10000;32;16;1;131.78;5.0601e+00
WR11C2R4;10000;64;1;16;93.49;7.1324e+00
WR11C2R4;10000;64;2;8;139.21;4.7899e+00
WR11C2R4;10000;64;4;4;192.90;3.4568e+00
WR11C2R4;10000;64;8;2;191.59;3.4804e+00
WR11C2R4;10000;64;16;1;125.67;5.3062e+00
WR11C2R4;10000;128;1;16;51.80;1.2873e+01
WR11C2R4;10000;128;2;8;90.22;7.3907e+00
WR11C2R4;10000;128;4;4;142.51;4.6792e+00
WR11C2R4;10000;128;8;2;148.97;4.4762e+00
WR11C2R4;10000;128;16;1;124.33;5.3631e+00
WR11C2R4;10000;256;1;16;32.44;2.0554e+01
WR11C2R4;10000;256;2;8;60.68;1.0988e+01
WR11C2R4;10000;256;4;4;110.57;6.0309e+00
WR11C2R4;10000;256;8;2;123.59;5.3953e+00
WR11C2R4;10000;256;16;1;122.98;5.4223e+00
WR11C2R4;20000;256;1;16;136.29;3.9136e+01
WR11C2R4;40000;256;1;16;730.81;5.8386e+01
WR11C2R4;60000;256;1;16;2152.05;6.6915e+01